MolID;Energy;Name
3974;-9.8;naldemedine
3923;-9.8;N-(2-methyl-3-chloro-5-hydroxyphenyl)-anthranilic acid form 3
3892;-9.8;morphine-3,6-diglucuronide
3539;-9.8;M6 (ivacaftor-carboxylate)
3480;-9.8;M1 (Letermovir)
3439;-9.8;lorpiprazole
3030;-9.8;Hydromorphone-3-glucuronide
3029;-9.8;Hydromorphone glucuronide conjugate
2886;-9.8;glucurinated form of rilpivirine (M6)
2502;-9.8;Estriol 3-sulfate 16-glucuronide
2374;-9.8;efaproxiral
2369;-9.8;edatrexate
2364;-9.8;ecamsule
2280;-9.8;disufenton
2021;-9.8;delamanid
1967;-9.8;dapiprazole
1954;-9.8;Dabigatran 3-O-acylglucuronide metabolite
1873;-9.8;cobimetinib
1758;-9.8;cilostazol
1568;-9.8;carindacillin
1538;-9.8;carbenoxolone
1259;-9.8;Belinostat glucuronide
1249;-9.8;beclabuvir
1085;-9.8;amrubicin
758;-9.8;7-??-Hydroxygliclazide
520;-9.8;4-hydroxymidazolam
485;-9.8;4-hydroxyalprazolam
20;-9.8;(4S,5S)-DM-6722
5708;-9.7;vilazodone
5374;-9.7;Tetrahydrocortisone Glucuronide 1
5335;-9.7;Teniposide catechol
5251;-9.7;sultosilic acid
5248;-9.7;sultamicillin
5120;-9.7;sitagliptin
4737;-9.7;posaconazole
4528;-9.7;perampanel
4154;-9.7;nintedanib
3474;-9.7;M1
3394;-9.7;Linagliptin M531(1)
3319;-9.7;lercanidipine
3296;-9.7;lansoprazole
3036;-9.7;hydroxilated form of dolutegravir (M3)
2924;-9.7;GS-563117
2701;-9.7;flubendazole
2619;-9.7;ezetimibe
2509;-9.7;Estrone glucuronide
2496;-9.7;Estradiol-17alpha 3-D-glucuronoside
2414;-9.7;ENB577c
2412;-9.7;ENB547
2177;-9.7;difenpiramide
2011;-9.7;Dehydroepiandrosterone 3-glucuronide
1960;-9.7;daclatasvir
1952;-9.7;Dabigatran 1-O-acylglucuronide metabolite
1704;-9.7;chlorhexidine
1676;-9.7;CGP71422
1258;-9.7;belinostat
1088;-9.7;amrubicinol
503;-9.7;4-hydroxy-estazolam
430;-9.7;4-(6-hydroxy-2-naphthyl)- butan-2-ol glucuronide (2-OH conjugated) glycine conju
359;-9.7;3'-demethyletoposide
343;-9.7;3-alpha-Androstanediol glucuronide
226;-9.7;25-Hydroxyvitamin D2 25-(beta-glucuronide)
14;-9.7;(2S)-N-[(2S,3R)-4-[(3S,4aS,8aS)-3-[(1-hydroxy-2-methylpropan-2-yl)carbamoyl]-dec
5769;-9.6;zinostatin
5760;-9.6;Zafirlukast metabolite M8
5342;-9.6;Tenofovir Diphosphate
5337;-9.6;Teniposide o-quinone derivative
5336;-9.6;Teniposide catechol derivative
5327;-9.6;telmisartan
5242;-9.6;sulisatin
5123;-9.6;Sitagliptin M4 Metabolite
5122;-9.6;Sitagliptin M2 and M5 Metabolites
4503;-9.6;penfluridol
4484;-9.6;PCI-45741 (M25)
4301;-9.6;O-Desmethylnaproxen sulfate
4257;-9.6;N-trifluoroacetyladriamycinol
3587;-9.6;mebendazole
3525;-9.6;M4 (piperaquine)
2915;-9.6;glycyrrhetinic acid
2760;-9.6;flusalan
2757;-9.6;Flurbiprofen glucuronide
2742;-9.6;Fluoxetine glucuronide
2652;-9.6;fendiline
2599;-9.6;Etoposide ortho-quinone
2505;-9.6;Estriol-17-glucuronide
2415;-9.6;ENB579b
2251;-9.6;diosmin
2073;-9.6;desmethyladinazolam
1892;-9.6;coumetarol
1889;-9.6;Cotinine glucuronide
1652;-9.6;Celecoxib glucuronide
1635;-9.6;cefsulodin
1628;-9.6;cefpimizole
1381;-9.6;bisoxatin acetate
1270;-9.6;benexate
893;-9.6;aclarubicin
846;-9.6;Acalabrutinib M5 Metabolite (ACP-5530)
841;-9.6;Acalabrutinib M25 Metabolite
839;-9.6;Acalabrutinib M23 Metabolite (ACP-5134)
727;-9.6;6-hydroxy-naphthylacetic acid glucuronide
420;-9.6;3-trans-Hydroxycyclohexyl glyburide
303;-9.6;2-trans-hydroxycyclohexyl glyburide
224;-9.6;24(R),25dihydroxyvitamin D
5705;-9.5;Vicriviroc N-oxide
5693;-9.5;vemurafenib intermediary metabolite
5480;-9.5;tirilazad
5403;-9.5;Thioguanine diphosphate
5400;-9.5;Thiodeoxyguanosine diphosphate
5243;-9.5;sulisobenzone
5141;-9.5;solasulfone
4947;-9.5;Ranolazine M1
4652;-9.5;picotamide
4620;-9.5;Phenytoin methylcatechol
4473;-9.5;parapenzolate
4456;-9.5;panobinostat
4435;-9.5;Palbociclib M10
4256;-9.5;N-trifluoroacetyladriamycin
3994;-9.5;Nateglinide glucuronide and isomers (M4/M5/M6)
3967;-9.5;nafamostat
3887;-9.5;morniflumate
3423;-9.5;Lopinavir M1 metabolite
3095;-9.5;ibuprofen piconol
2885;-9.5;glucurinated form of rilpivirine (M5)
2865;-9.5;Glasdegib M3
2841;-9.5;Gemcitabine diphosphate
2687;-9.5;flecainide
2597;-9.5;Etoposide catechol
2426;-9.5;enoxolone
2338;-9.5;Doxorubicin-semiquinone
2201;-9.5;Dihydrofolate (DHF)
2190;-9.5;Dihydro-5-hydroxyrofecoxib
2184;-9.5;digitalin
2159;-9.5;dicoumarol
1918;-9.5;Cyclobenzaprine N+-Glucuronide
1677;-9.5;CGP72383
1554;-9.5;Carboxygliclazide
1402;-9.5;Bortezomib metabolite M5
1263;-9.5;bemotrizinol
1112;-9.5;apatinib
986;-9.5;alpha-Hydroxyalprazolam
919;-9.5;adenosine triphosphate
912;-9.5;Adefovir Diphosphate
876;-9.5;acetoxolone
847;-9.5;Acalabrutinib M7 Metabolite (ACP-5531)
819;-9.5;9-alpha,21-beta-dichloro-11-beta,21-alpha-dihydroxy-16-alpha-methylpregna-1,4,17
711;-9.5;6-Hydroxyastemizole
675;-9.5;6-??-hydromorphol glucuronide conjugate 2
612;-9.5;5-hydroxy dexlansoprazole
570;-9.5;5,6-dihydroxythalidomide
476;-9.5;4-hydroxy-1-methyl-2-oxo-N-phenyl-1,2-dihydroquinoline-3-carboxamide
463;-9.5;4-cis-hydroxycyclohexyl glyburide
429;-9.5;4-(6-hydroxy-2-naphthyl)- butan-2-ol glucuronide (2-OH conjugated)
381;-9.5;3''-Hydroxylovastatin
374;-9.5;3-hydroxydesloratadine glucuronide
52;-9.5;??-artenimol-??-glucuronide
5703;-9.4;Vicriviroc carboxylic acid
5671;-9.4;Valdecoxib metabolite M9
5668;-9.4;Valdecoxib metabolite M5
5452;-9.4;tigecycline
5258;-9.4;Suprofen glucuronide
5207;-9.4;Sulfamethoxazole N-glucuronide
5160;-9.4;stallimycin
5145;-9.4;Sorafenib beta-D-Glucuronide
5130;-9.4;SN-38
5124;-9.4;Sitagliptin Unnamed Metabolite
5101;-9.4;Sennidin A
4443;-9.4;Palbociclib M6
4437;-9.4;Palbociclib M12
4382;-9.4;Oxazepam glucuronide
4352;-9.4;ortho-Hydroxyrosiglitazone
4281;-9.4;O-demethylated-silybin
4235;-9.4;Nornalmefene 3-O-sulfate
4190;-9.4;Norapomorphine
3924;-9.4;N-(2-methyl-3-chlorophenyl)-4-hydroxy-anthranilic acid
3872;-9.4;monoxerutin
3495;-9.4;M17
3297;-9.4;Lansoprazole sulfone
3261;-9.4;Ketoprofen glucuronide
3256;-9.4;Ketoconazole dihydroxyl intermediate
3246;-9.4;ivacaftor
3115;-9.4;imatinib
3105;-9.4;idelalisib
3093;-9.4;Ibuprofen glucuronide
3065;-9.4;Hydroxylansoprazole
3064;-9.4;hydroxyitraconazole
2704;-9.4;fluclorolone acetonide
2615;-9.4;exatecan
2557;-9.4;etifoxine
2452;-9.4;epirubicin
2330;-9.4;doxercalciferol
2329;-9.4;Doxepin N-oxide glucuronide
2303;-9.4;dolutegravir
2126;-9.4;Dextrorphan O-glucuronide
2113;-9.4;dexketoprofen
2002;-9.4;defluorinated and gutathione conjugated form of dolutegravir (M4.2)
1978;-9.4;daunorubicinol
1839;-9.4;clomocycline
1655;-9.4;Cephaeline 6'-O-glucuronide
1509;-9.4;Calcitrol
1156;-9.4;AR-C124910XX
1117;-9.4;Apomorphine 10-glucuronide
1113;-9.4;apixaban
989;-9.4;Alpha-hydroxymidazolam
929;-9.4;AFN911
554;-9.4;4'-OH-triamterene sulfate
507;-9.4;4-hydroxyestrone
216;-9.4;21-beta-chloro-21-alpha-hydroxy-16-alpha-methyl-9-beta,11-beta-oxidopregna-1,4,1
146;-9.4;17-beta-Estradiol glucuronide
111;-9.4;12-hydroxynevirapine glucuronide
39;-9.4;(S)9-hydroxywarfarin
4;-9.4;(23S)-23,25-dihdroxy-24-oxovitamine D3 23-(beta-glucuronide)
5755;-9.3;Zafirlukast metabolite M1
5704;-9.3;Vicriviroc hydroxylamine
5644;-9.3;umeclidinium
5371;-9.3;Tetrahydrocortisol Glucuronide 1
5344;-9.3;Tenofovir Monophosphate
5087;-9.3;SCH 57871
5060;-9.3;Sacubitrilat (LBQ657)
4950;-9.3;rebamipide
4893;-9.3;quercetin
4799;-9.3;proglumetacin
4779;-9.3;pridinol
4758;-9.3;prednimustine
4742;-9.3;pralmorelin
4697;-9.3;pirarubicin
4565;-9.3;phenazocine
4555;-9.3;PF-05199265
4535;-9.3;perflunafene
4483;-9.3;PCI-45227 (M37)
4445;-9.3;Palbociclib M8
4444;-9.3;Palbociclib M7
4438;-9.3;Palbociclib M13
4367;-9.3;oxaflozane
4334;-9.3;opicapone
4308;-9.3;O-Desmethylvicriviroc
4220;-9.3;Norfluoxetine glucuronide
4081;-9.3;nebivolol
4047;-9.3;N-Desmethyleletriptan
4007;-9.3;N-Deisopropyl-fluvastatin
3874;-9.3;Montelukast metabolite M1
3581;-9.3;masoprocol
3523;-9.3;M4 (Blonanserin)
3517;-9.3;M3 (Odanacatib)
3388;-9.3;Linagliptin M489(1)
3380;-9.3;lifitegrast
3318;-9.3;lenvatinib
3144;-9.3;indinavir
2917;-9.3;glyhexamide
2872;-9.3;glimepiride
2661;-9.3;fenoverine
2534;-9.3;Ethinylestradiol-glucuronide
2464;-9.3;ergocalciferol
2400;-9.3;Empagliflozin-6-glucuronide
2336;-9.3;Doxorubicinol
2291;-9.3;DM-6705
2290;-9.3;DM-6704
2252;-9.3;dioxadrol
2114;-9.3;dexlansoprazole
2068;-9.3;Desmethyl Netupitant
1962;-9.3;dantrolene
1940;-9.3;cynarine
1937;-9.3;cycrimine
1882;-9.3;conivaptan
1871;-9.3;CMBHC
1771;-9.3;cinnarizine
1627;-9.3;cefozopran
1518;-9.3;Candesartan O-glucuronide
1408;-9.3;Bosentan metabolite Ro 64-1056
1380;-9.3;bisoxatin
1377;-9.3;bisoctrizole
1373;-9.3;bisacodyl
1308;-9.3;benzylhydrochlorothiazide
1304;-9.3;Benzydamine N-oxide
1212;-9.3;axitinib
1121;-9.3;aprepitant
1116;-9.3;apomorphine
998;-9.3;alprazolam
977;-9.3;alpha-caboxymethylbutylhydroxychromanol
750;-9.3;6-oxo-famciclovir
735;-9.3;6-methoxy-naphthylacetic acid glucuronide
651;-9.3;5-O-Desmethylomeprazole
597;-9.3;5-chloro-4-hydroxy-1-methyl-2-oxo-N-phenyl-1,2-dihydroquinoline-3-carboxamide
585;-9.3;5-alpha androsterone
565;-9.3;4-trans-OH-glipizide
553;-9.3;4'-OH-triamterene
511;-9.3;4'-Hydroxyflurbiprofen
387;-9.3;3-Hydroxymorphinan O-glucuronide
225;-9.3;25-hydroxyvitamin D
148;-9.3;17-beta-Estradiol-3-glucuronide
99;-9.3;11-beta-Hydroxyandrosterone-3-glucuronide
85;-9.3;10,11-Dihydroxycarbamazepine
18;-9.3;(4R,5S)-DM-6721
5777;-9.2;Zolmitriptan N-oxide
5771;-9.2;Ziprasidone Sulfone
5767;-9.2;Zileuton O-glucuronide
5762;-9.2;zaleplon
5751;-9.2;xyloylsulfamine
5675;-9.2;valganciclovir
5606;-9.2;trioxsalen
5518;-9.2;Topiroxostat N-oxide
5467;-9.2;tioclomarol
5420;-9.2;THRX-195518
5360;-9.2;testosterone cypionate
5351;-9.2;Terbinafine dihydrodiol derivative (2)
5306;-9.2;tasosartan
5029;-9.2;rolitetracycline
4961;-9.2;regorafenib
4920;-9.2;R529 Sulfate-conjugate
4918;-9.2;R529
4916;-9.2;R406
4901;-9.2;Quinaprilat
4883;-9.2;pyronaridine
4854;-9.2;protoverine
4844;-9.2;proscillaridin
4746;-9.2;pranlukast
4740;-9.2;pralatrexate
4699;-9.2;pirenoxine
4690;-9.2;pipethanate
4641;-9.2;p-Hydroxynordiazepam
4590;-9.2;phenolsulfonphthalein
4496;-9.2;pemafibrate
4486;-9.2;PCI-45773 (M35)
4436;-9.2;Palbociclib M11
4363;-9.2;oxabolone
4155;-9.2;Nintedanib M4 Metabolite
4119;-9.2;nicofuranose
3971;-9.2;naftifine
3646;-9.2;mepiprazole
3509;-9.2;M2 Metabolite, Tezacaftor
3506;-9.2;M2 (piperaquine)
3456;-9.2;Lumiracoxib glucuronide (M24)
3386;-9.2;Linagliptin M476(1)
3161;-9.2;Inositol trinicotinate
2990;-9.2;hidrosmin
2814;-9.2;Furano Acetate of Dihydroartemisinin Glucuronide
2689;-9.2;flibanserin
2577;-9.2;etomidoline
2570;-9.2;etofenamate
2506;-9.2;Estriol-3-glucuronide
2455;-9.2;eplerenone
2334;-9.2;doxorubicin
2060;-9.2;desethylzaleplon
2043;-9.2;des-4-chlorobenzoyl-indomethacin glucuronide
2006;-9.2;Dehydro-aripiprazole unnamed glutathione conjugate metabolite 1
1915;-9.2;cyclarbamate
1899;-9.2;cromoglicic acid
1690;-9.2;Chloramphenicol Glucuronide
1678;-9.2;chidamide
1646;-9.2;ceftriaxone
1637;-9.2;ceftaroline fosamil
1520;-9.2;cangrelor
1507;-9.2;calcitriol
1461;-9.2;Buprenorphine glucuronide
1392;-9.2;Bortezomib metabolite M1
1255;-9.2;bedaquiline
1227;-9.2;azimilide
1164;-9.2;Aripiprazole unnamed metabolite 2
1114;-9.2;Apixaban M2 metabolite
1075;-9.2;Amoxicillin M7 Metabolite
835;-9.2;Acalabrutinib M10 Metabolite (ACP-5461)
827;-9.2;9-O-demethylemetine glucuronide
643;-9.2;5-Hydroxythalidomide
563;-9.2;4-trans-hydroxycyclohexyl glyburide
506;-9.2;4-Hydroxyestran-3,17-dione (M1)
488;-9.2;4-Hydroxyandrostenedione glucuronide
456;-9.2;4'-Carboxylumiracoxib glucuronide (M22)
338;-9.2;3???,4???-O-didemethyl Istradefylline (M3)
281;-9.2;2-methoxy-17beta-estradiol 3-O-(beta-D-glucuronide)
279;-9.2;2-hydroxy-topiroxostat
107;-9.2;11-Oxo-androsterone glucuronide
96;-9.2;10-OH-zaltoprofen
41;-9.2;(S)-DM-6718
12;-9.2;(2S)-N-[(2S,3R)-4-[(3S,4aR,8aS)-3-(tert-butylcarbamoyl)-6-hydroxy-decahydroisoqu
5692;-9.1;vemurafenib
5682;-9.1;valrubicin
5666;-9.1;Valdecoxib metabolite M3
5639;-9.1;ufenamate
5586;-9.1;trihexyphenidyl
5578;-9.1;trifluoperazine
5558;-9.1;triamterene
5554;-9.1;triamcinolone acetonide
5439;-9.1;ticagrelor
5381;-9.1;Thalidomide arene oxide
5372;-9.1;Tetrahydrocortisol Glucuronide 2
5362;-9.1;Testosterone glucuronide
5355;-9.1;terizidone
5274;-9.1;talampicillin
5253;-9.1;Sumatriptan Metabolite Ester Glucuronide of GR49336
5125;-9.1;sitosterol
5093;-9.1;secalciferol
5080;-9.1;saquinavir
5052;-9.1;ruxolitinib
4999;-9.1;rilpivirine
4926;-9.1;rac Ketorolac Glucuronide
4922;-9.1;R-7-Hydroxywarfarin
4917;-9.1;R406 N-glucuronide
4858;-9.1;prozapine
4748;-9.1;prasterone
4677;-9.1;Pioglitazone metabolite M-VI
4618;-9.1;Phenytoin catechol
4434;-9.1;Palbociclib M1
4430;-9.1;paclitaxel
4427;-9.1;oxytetracycline
4387;-9.1;Oxcarbazepine sulfate metabolite
4364;-9.1;oxabolone cipionate
4336;-9.1;O-quinone
4319;-9.1;olmutinib
4251;-9.1;N-oxide Netupitant
4234;-9.1;Nornalmefene 3-O-glucuronide
4121;-9.1;nicomorphine
4112;-9.1;niceritrol
4051;-9.1;N-Desmethylimatinib
4011;-9.1;N-demethylencainide
4009;-9.1;n-demethylated piperazine
3998;-9.1;Nateglinide metabolite M7
3995;-9.1;Nateglinide metabolite M1
3863;-9.1;Monodeethylmetoclopramide
3765;-9.1;methylrosaniline
3755;-9.1;Methylprednisolone M2 Metabolite
3750;-9.1;Methylprednisolone M11 Metabolite
3739;-9.1;Methylhydroxygliclazide
3672;-9.1;metacycline
3580;-9.1;maraviroc
3574;-9.1;manidipine
3559;-9.1;macimorelin acetate
3535;-9.1;M5b ertugliflozin
3533;-9.1;M5 (piperaquine)
3515;-9.1;M3 (Blonanserin)
3507;-9.1;M2 di-hydroxylated metabolite
3425;-9.1;Lopinavir M3/M4 metabolite(s)
3369;-9.1;levosimendan
3273;-9.1;Labetalol Glucuronide Metabolite (X)
3270;-9.1;Labetalol Benzyl Glucuronide Metabolite (II)
3252;-9.1;ketanserin
3210;-9.1;Irbesartan derivative M8
3196;-9.1;ipragliflozin
3120;-9.1;Iminoquinone
3055;-9.1;Hydroxydoxepin glucuronide
3054;-9.1;Hydroxy-Docetaxel
3006;-9.1;hycanthone
2866;-9.1;Glasdegib M4
2780;-9.1;formestane
2712;-9.1;flufenamic acid
2679;-9.1;fexofenadine_dup
2616;-9.1;exemestane
2596;-9.1;etoposide
2504;-9.1;Estriol-16-Glucuronide
2399;-9.1;Empagliflozin-3-glucuronide
2375;-9.1;efavirenz
2257;-9.1;diperodon
2118;-9.1;dexniguldipine
2081;-9.1;Desmethylmianserin
2034;-9.1;demexiptiline
2001;-9.1;defluorinated and gutathione conjugated form of dolutegravir (M4.1)
1955;-9.1;Dabigatran 4-O-acylglucuronide metabolite
1886;-9.1;cortivazol
1644;-9.1;ceftobiprole medocaril
1630;-9.1;cefpirome
1629;-9.1;cefpiramide
1558;-9.1;Carboxyterbinafine
1553;-9.1;Carboxycelecoxib
1517;-9.1;Candesartan N2-glucuronide
1495;-9.1;buzepide metiodide
1415;-9.1;brigatinib
1226;-9.1;azilsartan medoxomil
1194;-9.1;ataluren
987;-9.1;alpha-hydroxyetizolam
974;-9.1;Alpelisib M4 Metabolite
873;-9.1;acetohexamide
837;-9.1;Acalabrutinib M16 Metabolite
815;-9.1;8-OH-efavirenz
777;-9.1;7-hydroxymethotrexate
767;-9.1;7-ethyl-10-[4-N-(5-aminopentanoic acid)-1-piperidino] carbonyloxycamptothecin
677;-9.1;6-??-Hydroxygliclazide
659;-9.1;5-oxo-1,4-dihydro-1,2,4-triazole-3-carbaldehyde
639;-9.1;5-Hydroxyrofecoxib O-glucuronide
584;-9.1;5-alpha androstanedione
521;-9.1;4-Hydroxyminaprine
350;-9.1;3'-azido-3'-deoxy-5'- O-beta-D-glucopyranuronosylthymidine
318;-9.1;3-(piperazine-1-yl)-1,2-benzisothiazole sulfone lactam
215;-9.1;20-hydroxyvitamin D
196;-9.1;2,3-Dihydroxycarbamazepine
143;-9.1;17-alpha-Estradiol-3-glucuronide
132;-9.1;16-alpha-hydroxy-17-beta-dihydroequilenin
15;-9.1;(2S,3R)-2-[(1R)-1-[3,5-bis(trifluoromethyl)phenyl]ethoxy]-3-(4-fluorophenyl)morp
5725;-9.0;voacamine
5684;-9.0;vandetanib
5667;-9.0;Valdecoxib metabolite M4
5664;-9.0;Valdecoxib metabolite M1
5662;-9.0;valaciclovir
5618;-9.0;tropesin
5328;-9.0;telotristat ethyl
5144;-9.0;sorafenib
5108;-9.0;setastine
5078;-9.0;sancycline
4964;-9.0;Remdesivir Nucleoside Monophosphate
4960;-9.0;regadenoson
4954;-9.0;Reduced Fenofibric Acid Glucuronide
4930;-9.0;raloxifene
4923;-9.0;R-8-Hydroxywarfarin
4904;-9.0;quinestrol
4750;-9.0;prasterone sulfate
4685;-9.0;piperacillin
4673;-9.0;Pioglitazone metabolite M-II
4649;-9.0;picloxydine
4481;-9.0;pazopanib
4478;-9.0;paroxetine
4470;-9.0;para-O-Glucuronide rosiglitazone
4421;-9.0;oxyphencyclimine
4325;-9.0;Olsalazine-O-sulfate
4204;-9.0;Norendoxifen (4-hydroxy-N,N-didesmethyltamoxifen)
4120;-9.0;nicomol
4117;-9.0;nicofetamide
4067;-9.0;N-Desmethylterbinafine dihydrodiol derivative (2)
3978;-9.0;Nalmefene 3-O-glucuronide
3960;-9.0;N-acetylsulfamethoxazole
3869;-9.0;Monoiodothyronine
3868;-9.0;monohydroxy-vorapaxar (M20)
3827;-9.0;mirodenafil
3822;-9.0;Minocycline M7 Metabolite
3784;-9.0;metofenazate
3651;-9.0;meproscillarin
3484;-9.0;M1 Sulfate Conjugate (M4)
3437;-9.0;Lormetazepam glucuronide
3378;-9.0;lidoflazine
3321;-9.0;leteprinim
3243;-9.0;itraconazole
3053;-9.0;Hydroxydesmethyl doxepin glucuronide
2874;-9.0;gliquidone
2775;-9.0;folic acid
2699;-9.0;fluacizine
2678;-9.0;fexofenadine
2481;-9.0;Eslicarbazepine-O-glucuronide
2346;-9.0;drospirenone
2325;-9.0;doxazosin
2012;-9.0;Dehydroepiandrosterone sulfate
1953;-9.0;Dabigatran 2-O-acylglucuronide metabolite
1896;-9.0;cridanimod
1877;-9.0;Codeine-6-glucuronide
1820;-9.0;clocapramine
1661;-9.0;cetiedil
1645;-9.0;ceftolozane
1590;-9.0;CDMOHC
1406;-9.0;Bosentan metabolite Ro 47-8634
1385;-9.0;blonanserin
1374;-9.0;bisantrene
1349;-9.0;bezafibrate
1332;-9.0;betamethasone phosphate
1319;-9.0;beta-ergocalciferol
1299;-9.0;benzpiperylone
1278;-9.0;bentiromide
1247;-9.0;bazedoxifene
1203;-9.0;atracurium
1115;-9.0;Apocodeine
1017;-9.0;amcinonide
961;-9.0;alkofanone
948;-9.0;alectinib
914;-9.0;Adefovir monophosphate
895;-9.0;aclidinium bromide
860;-9.0;Acemetacin-acyl-beta-D-glucuronide
844;-9.0;Acalabrutinib M37 Metabolite
834;-9.0;acalabrutinib
825;-9.0;9-hydroxyminocycline
808;-9.0;8-hydroxynevirapine glucuronide
781;-9.0;7-Hydroxy-R-phenprocoumon
